Code,lichaamslocalisatie,pathologie
1065,Achterzijde hoofd,"Overige-, erfelijke aandoeningen"
1068,Achterzijde hoofd,Chirurgie niet bewegingsapparaat (niet cardiochirurgie)
1069,Achterzijde hoofd,Nieuwvormingen zonder chirurgie
1070,Achterzijde hoofd,Perifere zenuwaandoening
1071,Achterzijde hoofd,Cerebellaire aandoeningen / encephalopathieën
1072,Achterzijde hoofd,Cerebrovasculair accident / centrale parese
1073,Achterzijde hoofd,Multiple sclerose / ALS/ spinale spieratrofie
1074,Achterzijde hoofd,Parkinson / extrapyramidale aandoening
1075,Achterzijde hoofd,HNP met radiculair syndroom
1076,Achterzijde hoofd,Dwarslaesie (incl. traumatisch en partieel)
1077,Achterzijde hoofd,Neurotraumata
1078,Achterzijde hoofd,Overige neurologische aandoeningen / neuropathieën /ziekten van neurologische oorsprong
1079,Achterzijde hoofd,Psychomotore retardatie / ontwikkelingsstoornissen
1080,Achterzijde hoofd,Symptomatologie (nog zonder aanwijsbare pathologie)
1081,Achterzijde hoofd,Psychosomatische aandoeningen
1082,Achterzijde hoofd,Hyperventilatie zonder longpathologie
1083,Achterzijde hoofd,Proctologie
1084,Achterzijde hoofd,"M.D.L. (Maag, Darm, Lever)"
1085,Achterzijde hoofd,Seksuologie
1086,Achterzijde hoofd,"Urine incontinentie, incontinentie urinae"
1087,Achterzijde hoofd,"Fecale incontinentie, incontinentie alvi"
1088,Achterzijde hoofd,Urologie
1089,Achterzijde hoofd,Gynaecologie
1090,Achterzijde hoofd,"Reumatoïde arthritis, chronische reuma"
1091,Achterzijde hoofd,Juveniel reuma
1092,Achterzijde hoofd,(Poly-) arthritis
1093,Achterzijde hoofd,Spondylitis ankylopoetica / ankylose
1094,Achterzijde hoofd,Overige reumatische- en collageenaandoeningen 
1095,Achterzijde hoofd,Littekenweefsel
1096,Achterzijde hoofd,Sclerodermie
1097,Achterzijde hoofd,Psoriasis
1098,Achterzijde hoofd,Hyperhydrosis
1099,Achterzijde hoofd,Overige huidaandoeningen
1100,Aangezicht,Amputatie
1101,Aangezicht,"Gewrichten, uitgezonderd wervelkolom, meniscectomie, synovectomie"
1102,Aangezicht,"Botten, uitgezonderd wervelkolom"
1103,Aangezicht,"Meniscectomie, synovectomie"
1104,Aangezicht,"Pees, spier, ligament"
1105,Aangezicht,Wervelkolom
1106,Aangezicht,Verwijderde osteosynthese materiaal
1108,Aangezicht,Postoperatieve contractuur / atrofie
1109,Aangezicht,Overige chirurgie van het bewegingsapparaat (incl. nieuwvormingen)
1110,Aangezicht,Aseptische botnecrose
1111,Aangezicht,Afwijkingen wervelkolom / bekken
1112,Aangezicht,Skeletafwijkingen (aangeboren)
1113,Aangezicht,Ossificatiestoornis
1114,Aangezicht,Ontstekingen / nieuwvormingen in het skelet
1115,Aangezicht,Pseudo-arthrose / epiphysiolysis / apofysitiden
1116,Aangezicht,Standsafwijkingen extremiteiten
1117,Aangezicht,"Afwijkingen gewrichten, uitgezonderd wervelkolom / bekken"
1118,Aangezicht,Overige orthopedische aandoeningen zonder chirurgie
1119,Aangezicht,Dupuytren
1120,Aangezicht,Epicondylitis / tendinitis / tendovaginitis
1121,Aangezicht,Bursitis (niet traumatisch) / capsulitis
1122,Aangezicht,Chondropathie / arthropathie / meniscuslaesie
1123,Aangezicht,Arthrose
1124,Aangezicht,Osteoporose
1125,Aangezicht,Syndroom van Costen
1126,Aangezicht,"Spier-, pees- en fascie aandoeningen"
1127,Aangezicht,"Discusdegeneratie, coccygodynie / HNP"
1128,Aangezicht,Sudeckse a(dys)trofie
1131,Aangezicht,Gewrichtcontusie / -distorsie
1132,Aangezicht,Luxatie (sub-)
1133,Aangezicht,"Spier-, peesruptuur / haematoom"
1134,Aangezicht,Hydrops / haemarthos / haematoom
1135,Aangezicht,Myositis ossificans / adhaesies / traumatische bursitis
1136,Aangezicht,Fracturen
1137,Aangezicht,Onbekend
1138,Aangezicht,Whiplash injury (nektrauma)
1139,Aangezicht,Status na brandwonden
1140,Aangezicht,Hartaandoeningen (niet genoemd onder 41 t/m 49)
1141,Aangezicht,Myocard-infarct (AMI)
1142,Aangezicht,Status na coronary artery bypassoperatie (CABG)
1143,Aangezicht,Status na percutane transluminale coronair angioplastiek (PTCA)
1144,Aangezicht,Status na hartklepoperatie
1145,Aangezicht,Status na operatief gecorrigeerde congenitale afwijkingen
1146,Aangezicht,Lymfevataandoeningen / oedeem
1147,Aangezicht,Ulcus / decubitus / necrose
1148,Aangezicht,"Algemeen vaatlijden, circulatiestoornissen"
1149,Aangezicht,Onbekend
1150,Aangezicht,Cara
1151,Aangezicht,Aangeboren afwijkingen tractus respiratorius
1152,Aangezicht,Pneumothorax / longoedeem
1153,Aangezicht,Luchtweginfecties
1154,Aangezicht,COPD
1155,Aangezicht,Emfyseem
1156,Aangezicht,Interstitiële longaandoeningen incl. sarcoïdose
1160,Aangezicht,Diabetes mellitus
1161,Aangezicht,Immuniteitsstoornissen
1162,Aangezicht,Spastisch colon
1164,Aangezicht,Adipositas
1165,Aangezicht,"Overige-, erfelijke aandoeningen"
1168,Aangezicht,Chirurgie niet bewegingsapparaat (niet cardiochirurgie)
1169,Aangezicht,Nieuwvormingen zonder chirurgie
1170,Aangezicht,Perifere zenuwaandoening
1171,Aangezicht,Cerebellaire aandoeningen / encephalopathieën
1172,Aangezicht,Cerebrovasculair accident / centrale parese
1173,Aangezicht,Multiple sclerose / ALS/ spinale spieratrofie
1174,Aangezicht,Parkinson / extrapyramidale aandoening
1175,Aangezicht,HNP met radiculair syndroom
1176,Aangezicht,Dwarslaesie (incl. traumatisch en partieel)
1177,Aangezicht,Neurotraumata
1178,Aangezicht,Overige neurologische aandoeningen / neuropathieën /ziekten van neurologische oorsprong
1179,Aangezicht,Psychomotore retardatie / ontwikkelingsstoornissen
1180,Aangezicht,Symptomatologie (nog zonder aanwijsbare pathologie)
1181,Aangezicht,Psychosomatische aandoeningen
1182,Aangezicht,Hyperventilatie zonder longpathologie
1183,Aangezicht,Proctologie
1184,Aangezicht,"M.D.L. (Maag, Darm, Lever)"
1185,Aangezicht,Seksuologie
1186,Aangezicht,"Urine incontinentie, incontinentie urinae"
1187,Aangezicht,"Fecale incontinentie, incontinentie alvi"
1188,Aangezicht,Urologie
1189,Aangezicht,Gynaecologie
1190,Aangezicht,"Reumatoïde arthritis, chronische reuma"
1191,Aangezicht,Juveniel reuma
1192,Aangezicht,(Poly-) arthritis
1193,Aangezicht,Spondylitis ankylopoetica / ankylose
1194,Aangezicht,Overige reumatische- en collageenaandoeningen 
1195,Aangezicht,Littekenweefsel
1196,Aangezicht,Sclerodermie
1197,Aangezicht,Psoriasis
1198,Aangezicht,Hyperhydrosis
1199,Aangezicht,Overige huidaandoeningen
1200,Regio buccalis inclusief de kaak,Amputatie
1201,Regio buccalis inclusief de kaak,"Gewrichten, uitgezonderd wervelkolom, meniscectomie, synovectomie"
1202,Regio buccalis inclusief de kaak,"Botten, uitgezonderd wervelkolom"
1203,Regio buccalis inclusief de kaak,"Meniscectomie, synovectomie"
1204,Regio buccalis inclusief de kaak,"Pees, spier, ligament"
1205,Regio buccalis inclusief de kaak,Wervelkolom
1206,Regio buccalis inclusief de kaak,Verwijderde osteosynthese materiaal
1208,Regio buccalis inclusief de kaak,Postoperatieve contractuur / atrofie
1209,Regio buccalis inclusief de kaak,Overige chirurgie van het bewegingsapparaat (incl. nieuwvormingen)
1210,Regio buccalis inclusief de kaak,Aseptische botnecrose
1211,Regio buccalis inclusief de kaak,Afwijkingen wervelkolom / bekken
1212,Regio buccalis inclusief de kaak,Skeletafwijkingen (aangeboren)
1213,Regio buccalis inclusief de kaak,Ossificatiestoornis
1214,Regio buccalis inclusief de kaak,Ontstekingen / nieuwvormingen in het skelet
1215,Regio buccalis inclusief de kaak,Pseudo-arthrose / epiphysiolysis / apofysitiden
1216,Regio buccalis inclusief de kaak,Standsafwijkingen extremiteiten
1217,Regio buccalis inclusief de kaak,"Afwijkingen gewrichten, uitgezonderd wervelkolom / bekken"
1218,Regio buccalis inclusief de kaak,Overige orthopedische aandoeningen zonder chirurgie
1219,Regio buccalis inclusief de kaak,Dupuytren
1220,Regio buccalis inclusief de kaak,Epicondylitis / tendinitis / tendovaginitis
1221,Regio buccalis inclusief de kaak,Bursitis (niet traumatisch) / capsulitis
1222,Regio buccalis inclusief de kaak,Chondropathie / arthropathie / meniscuslaesie
1223,Regio buccalis inclusief de kaak,Artrose
1224,Regio buccalis inclusief de kaak,Osteoporose
1225,Regio buccalis inclusief de kaak,Syndroom van Costen
1226,Regio buccalis inclusief de kaak,"Spier-, pees- en fascie aandoeningen"
1227,Regio buccalis inclusief de kaak,"Discusdegeneratie, coccygodynie / HNP"
1228,Regio buccalis inclusief de kaak,Sudeckse a(dys)trofie
1231,Regio buccalis inclusief de kaak,Gewrichtcontusie / -distorsie
1232,Regio buccalis inclusief de kaak,Luxatie (sub-)
1233,Regio buccalis inclusief de kaak,"Spier-, peesruptuur / haematoom"
1234,Regio buccalis inclusief de kaak,Hydrops / haemarthos / haematoom
1235,Regio buccalis inclusief de kaak,Myositis ossificans / adhaesies / traumatische bursitis
1236,Regio buccalis inclusief de kaak,Fracturen
1237,Regio buccalis inclusief de kaak,Onbekend
1238,Regio buccalis inclusief de kaak,Whiplash injury (nektrauma)
1239,Regio buccalis inclusief de kaak,Status na brandwonden
1240,Regio buccalis inclusief de kaak,Hartaandoeningen (niet genoemd onder 41 t/m 49)
1241,Regio buccalis inclusief de kaak,Myocard-infarct (AMI)
1242,Regio buccalis inclusief de kaak,Status na coronary artery bypassoperatie (CABG)
1243,Regio buccalis inclusief de kaak,Status na percutane transluminale coronair angioplastiek (PTCA)
1244,Regio buccalis inclusief de kaak,Status na hartklepoperatie
1245,Regio buccalis inclusief de kaak,Status na operatief gecorrigeerde congenitale afwijkingen
1246,Regio buccalis inclusief de kaak,Lymfevataandoeningen / oedeem
1247,Regio buccalis inclusief de kaak,Ulcus / decubitus / necrose
1248,Regio buccalis inclusief de kaak,"Algemeen vaatlijden, circulatiestoornissen"
1249,Regio buccalis inclusief de kaak,Onbekend
1250,Regio buccalis inclusief de kaak,Cara
1251,Regio buccalis inclusief de kaak,Aangeboren afwijkingen tractus respiratorius
1252,Regio buccalis inclusief de kaak,Pneumothorax / longoedeem
1253,Regio buccalis inclusief de kaak,Luchtweginfecties
1254,Regio buccalis inclusief de kaak,COPD
1255,Regio buccalis inclusief de kaak,Emfyseem
1256,Regio buccalis inclusief de kaak,Interstitiële longaandoeningen incl. sarcoïdose
1260,Regio buccalis inclusief de kaak,Diabetes mellitus
1261,Regio buccalis inclusief de kaak,Immuniteitsstoornissen
1262,Regio buccalis inclusief de kaak,Spastisch colon
1264,Regio buccalis inclusief de kaak,Adipositas
1265,Regio buccalis inclusief de kaak,"Overige-, erfelijke aandoeningen"
1268,Regio buccalis inclusief de kaak,Chirurgie niet bewegingsapparaat (niet cardiochirurgie)
1269,Regio buccalis inclusief de kaak,Nieuwvormingen zonder chirurgie
1270,Regio buccalis inclusief de kaak,Perifere zenuwaandoening
1271,Regio buccalis inclusief de kaak,Cerebellaire aandoeningen / encephalopathieën
1272,Regio buccalis inclusief de kaak,Cerebrovasculair accident / centrale parese
1273,Regio buccalis inclusief de kaak,Multiple sclerose / ALS/ spinale spieratrofie
1274,Regio buccalis inclusief de kaak,Parkinson / extrapyramidale aandoening
1275,Regio buccalis inclusief de kaak,HNP met radiculair syndroom
1276,Regio buccalis inclusief de kaak,Dwarslaesie (incl. traumatisch en partieel)
1277,Regio buccalis inclusief de kaak,Neurotraumata
1278,Regio buccalis inclusief de kaak,Overige neurologische aandoeningen / neuropathieën /ziekten van neurologische oorsprong
1279,Regio buccalis inclusief de kaak,Psychomotore retardatie / ontwikkelingsstoornissen
1280,Regio buccalis inclusief de kaak,Symptomatologie (nog zonder aanwijsbare pathologie)
1281,Regio buccalis inclusief de kaak,Psychosomatische aandoeningen
1282,Regio buccalis inclusief de kaak,Hyperventilatie zonder longpathologie
1283,Regio buccalis inclusief de kaak,Proctologie
1284,Regio buccalis inclusief de kaak,"M.D.L. (Maag, Darm, Lever)"
1285,Regio buccalis inclusief de kaak,Seksuologie
1286,Regio buccalis inclusief de kaak,"Urine incontinentie, incontinentie urinae"
1287,Regio buccalis inclusief de kaak,"Fecale incontinentie, incontinentie alvi"
1288,Regio buccalis inclusief de kaak,Urologie
1289,Regio buccalis inclusief de kaak,Gynaecologie
1290,Regio buccalis inclusief de kaak,"Reumatoïde arthritis, chronische reuma"
1291,Regio buccalis inclusief de kaak,Juveniel reuma
1292,Regio buccalis inclusief de kaak,(Poly-) arthritis
1293,Regio buccalis inclusief de kaak,Spondylitis ankylopoetica / ankylose
1294,Regio buccalis inclusief de kaak,Overige reumatische- en collageenaandoeningen 
1295,Regio buccalis inclusief de kaak,Littekenweefsel
1296,Regio buccalis inclusief de kaak,Sclerodermie
1297,Regio buccalis inclusief de kaak,Psoriasis
1298,Regio buccalis inclusief de kaak,Hyperhydrosis
1299,Regio buccalis inclusief de kaak,Overige huidaandoeningen
1300,Regio cervicalis (oppervlakkige weke delen)  ,Amputatie
1301,Regio cervicalis (oppervlakkige weke delen)  ,"Gewrichten, uitgezonderd wervelkolom, meniscectomie, synovectomie"
1302,Regio cervicalis (oppervlakkige weke delen)  ,"Botten, uitgezonderd wervelkolom"
1303,Regio cervicalis (oppervlakkige weke delen)  ,"Meniscectomie, synovectomie"
1304,Regio cervicalis (oppervlakkige weke delen)  ,"Pees, spier, ligament"
1305,Regio cervicalis (oppervlakkige weke delen)  ,Wervelkolom
1306,Regio cervicalis (oppervlakkige weke delen)  ,Verwijderde osteosynthese materiaal
1308,Regio cervicalis (oppervlakkige weke delen)  ,Postoperatieve contractuur / atrofie
1309,Regio cervicalis (oppervlakkige weke delen)  ,Overige chirurgie van het bewegingsapparaat (incl. nieuwvormingen)
1310,Regio cervicalis (oppervlakkige weke delen)  ,Aseptische botnecrose
1311,Regio cervicalis (oppervlakkige weke delen)  ,Afwijkingen wervelkolom / bekken
1312,Regio cervicalis (oppervlakkige weke delen)  ,Skeletafwijkingen (aangeboren)
1313,Regio cervicalis (oppervlakkige weke delen)  ,Ossificatiestoornis
1314,Regio cervicalis (oppervlakkige weke delen)  ,Ontstekingen / nieuwvormingen in het skelet
1315,Regio cervicalis (oppervlakkige weke delen)  ,Pseudo-arthrose / epiphysiolysis / apofysitiden
1316,Regio cervicalis (oppervlakkige weke delen)  ,Standsafwijkingen extremiteiten
1317,Regio cervicalis (oppervlakkige weke delen)  ,"Afwijkingen gewrichten, uitgezonderd wervelkolom / bekken"
1318,Regio cervicalis (oppervlakkige weke delen)  ,Overige orthopedische aandoeningen zonder chirurgie
1319,Regio cervicalis (oppervlakkige weke delen)  ,Dupuytren
1320,Regio cervicalis (oppervlakkige weke delen)  ,Epicondylitis / tendinitis / tendovaginitis
1321,Regio cervicalis (oppervlakkige weke delen)  ,Bursitis (niet traumatisch) / capsulitis
1322,Regio cervicalis (oppervlakkige weke delen)  ,Chondropathie / arthropathie / meniscuslaesie
1323,Regio cervicalis (oppervlakkige weke delen)  ,Arthrose
1324,Regio cervicalis (oppervlakkige weke delen)  ,Osteoporose
1325,Regio cervicalis (oppervlakkige weke delen)  ,Syndroom van Costen
1326,Regio cervicalis (oppervlakkige weke delen)  ,"Spier-, pees- en fascie aandoeningen"
1327,Regio cervicalis (oppervlakkige weke delen)  ,"Discusdegeneratie, coccygodynie / HNP"
1328,Regio cervicalis (oppervlakkige weke delen)  ,Sudeckse a(dys)trofie
1331,Regio cervicalis (oppervlakkige weke delen)  ,Gewrichtcontusie / -distorsie
1332,Regio cervicalis (oppervlakkige weke delen)  ,Luxatie (sub-)
1333,Regio cervicalis (oppervlakkige weke delen)  ,"Spier-, peesruptuur / haematoom"
1334,Regio cervicalis (oppervlakkige weke delen)  ,Hydrops / haemarthos / haematoom
1335,Regio cervicalis (oppervlakkige weke delen)  ,Myositis ossificans / adhaesies / traumatische bursitis
1336,Regio cervicalis (oppervlakkige weke delen)  ,Fracturen
1337,Regio cervicalis (oppervlakkige weke delen)  ,Onbekend
1338,Regio cervicalis (oppervlakkige weke delen)  ,Whiplash injury (nektrauma)
1339,Regio cervicalis (oppervlakkige weke delen)  ,Status na brandwonden
1340,Regio cervicalis (oppervlakkige weke delen)  ,Hartaandoeningen (niet genoemd onder 41 t/m 49)
1341,Regio cervicalis (oppervlakkige weke delen)  ,Myocard-infarct (AMI)
1342,Regio cervicalis (oppervlakkige weke delen)  ,Status na coronary artery bypassoperatie (CABG)
1343,Regio cervicalis (oppervlakkige weke delen)  ,Status na percutane transluminale coronair angioplastiek (PTCA)
1344,Regio cervicalis (oppervlakkige weke delen)  ,Status na hartklepoperatie
1345,Regio cervicalis (oppervlakkige weke delen)  ,Status na operatief gecorrigeerde congenitale afwijkingen
1346,Regio cervicalis (oppervlakkige weke delen)  ,Lymfevataandoeningen / oedeem
1347,Regio cervicalis (oppervlakkige weke delen)  ,Ulcus / decubitus / necrose
1348,Regio cervicalis (oppervlakkige weke delen)  ,"Algemeen vaatlijden, circulatiestoornissen"
1349,Regio cervicalis (oppervlakkige weke delen)  ,Onbekend
1350,Regio cervicalis (oppervlakkige weke delen)  ,Cara
1351,Regio cervicalis (oppervlakkige weke delen)  ,Aangeboren afwijkingen tractus respiratorius
1352,Regio cervicalis (oppervlakkige weke delen)  ,Pneumothorax / longoedeem
1353,Regio cervicalis (oppervlakkige weke delen)  ,Luchtweginfecties
1354,Regio cervicalis (oppervlakkige weke delen)  ,COPD
1355,Regio cervicalis (oppervlakkige weke delen)  ,Emfyseem
1356,Regio cervicalis (oppervlakkige weke delen)  ,Interstitiële longaandoeningen incl. sarcoïdose
1360,Regio cervicalis (oppervlakkige weke delen)  ,Diabetes mellitus
1361,Regio cervicalis (oppervlakkige weke delen)  ,Immuniteitsstoornissen
1362,Regio cervicalis (oppervlakkige weke delen)  ,Spastisch colon
1364,Regio cervicalis (oppervlakkige weke delen)  ,Adipositas
1365,Regio cervicalis (oppervlakkige weke delen)  ,"Overige-, erfelijke aandoeningen"
1368,Regio cervicalis (oppervlakkige weke delen)  ,Chirurgie niet bewegingsapparaat (niet cardiochirurgie)
1369,Regio cervicalis (oppervlakkige weke delen)  ,Nieuwvormingen zonder chirurgie
1370,Regio cervicalis (oppervlakkige weke delen)  ,Perifere zenuwaandoening
1371,Regio cervicalis (oppervlakkige weke delen)  ,Cerebellaire aandoeningen / encephalopathieën
1372,Regio cervicalis (oppervlakkige weke delen)  ,Cerebrovasculair accident / centrale parese
1373,Regio cervicalis (oppervlakkige weke delen)  ,Multiple sclerose / ALS/ spinale spieratrofie
1374,Regio cervicalis (oppervlakkige weke delen)  ,Parkinson / extrapyramidale aandoening
1375,Regio cervicalis (oppervlakkige weke delen)  ,HNP met radiculair syndroom
1376,Regio cervicalis (oppervlakkige weke delen)  ,Dwarslaesie (incl. traumatisch en partieel)
1377,Regio cervicalis (oppervlakkige weke delen)  ,Neurotraumata
1378,Regio cervicalis (oppervlakkige weke delen)  ,Overige neurologische aandoeningen / neuropathieën /ziekten van neurologische oorsprong
1379,Regio cervicalis (oppervlakkige weke delen)  ,Psychomotore retardatie / ontwikkelingsstoornissen
1380,Regio cervicalis (oppervlakkige weke delen)  ,Symptomatologie (nog zonder aanwijsbare pathologie)
1381,Regio cervicalis (oppervlakkige weke delen)  ,Psychosomatische aandoeningen
1382,Regio cervicalis (oppervlakkige weke delen)  ,Hyperventilatie zonder longpathologie
1383,Regio cervicalis (oppervlakkige weke delen)  ,Proctologie
1384,Regio cervicalis (oppervlakkige weke delen)  ,"M.D.L. (Maag, Darm, Lever)"
1385,Regio cervicalis (oppervlakkige weke delen)  ,Seksuologie
1386,Regio cervicalis (oppervlakkige weke delen)  ,"Urine incontinentie, incontinentie urinae"
1387,Regio cervicalis (oppervlakkige weke delen)  ,"Fecale incontinentie, incontinentie alvi"
1388,Regio cervicalis (oppervlakkige weke delen)  ,Urologie
1389,Regio cervicalis (oppervlakkige weke delen)  ,Gynaecologie
1390,Regio cervicalis (oppervlakkige weke delen)  ,"Reumatoïde arthritis, chronische reuma"
1391,Regio cervicalis (oppervlakkige weke delen)  ,Juveniel reuma
1392,Regio cervicalis (oppervlakkige weke delen)  ,(Poly-) arthritis
1393,Regio cervicalis (oppervlakkige weke delen)  ,Spondylitis ankylopoetica / ankylose
1394,Regio cervicalis (oppervlakkige weke delen)  ,Overige reumatische- en collageenaandoeningen 
1395,Regio cervicalis (oppervlakkige weke delen)  ,Littekenweefsel
1396,Regio cervicalis (oppervlakkige weke delen)  ,Sclerodermie
1397,Regio cervicalis (oppervlakkige weke delen)  ,Psoriasis
1398,Regio cervicalis (oppervlakkige weke delen)  ,Hyperhydrosis
1399,Regio cervicalis (oppervlakkige weke delen)  ,Overige huidaandoeningen
1900,Gecombineerd ** Hoofd/ Hals,Amputatie
1901,Gecombineerd ** Hoofd/ Hals,"Gewrichten, uitgezonderd wervelkolom, meniscectomie, synovectomie"
1902,Gecombineerd ** Hoofd/ Hals,"Botten, uitgezonderd wervelkolom"
1903,Gecombineerd ** Hoofd/ Hals,"Meniscectomie, synovectomie"
1904,Gecombineerd ** Hoofd/ Hals,"Pees, spier, ligament"
1905,Gecombineerd ** Hoofd/ Hals,Wervelkolom
1906,Gecombineerd ** Hoofd/ Hals,Verwijderde osteosynthese materiaal
1908,Gecombineerd ** Hoofd/ Hals,Postoperatieve contractuur / atrofie
1909,Gecombineerd ** Hoofd/ Hals,Overige chirurgie van het bewegingsapparaat (incl. nieuwvormingen)
1910,Gecombineerd ** Hoofd/ Hals,Aseptische botnecrose
1911,Gecombineerd ** Hoofd/ Hals,Afwijkingen wervelkolom / bekken
1912,Gecombineerd ** Hoofd/ Hals,Skeletafwijkingen (aangeboren)
1913,Gecombineerd ** Hoofd/ Hals,Ossificatiestoornis
1914,Gecombineerd ** Hoofd/ Hals,Ontstekingen / nieuwvormingen in het skelet
1915,Gecombineerd ** Hoofd/ Hals,Pseudo-arthrose / epiphysiolysis / apofysitiden
1916,Gecombineerd ** Hoofd/ Hals,Standsafwijkingen extremiteiten
1917,Gecombineerd ** Hoofd/ Hals,"Afwijkingen gewrichten, uitgezonderd wervelkolom / bekken"
1918,Gecombineerd ** Hoofd/ Hals,Overige orthopedische aandoeningen zonder chirurgie
1919,Gecombineerd ** Hoofd/ Hals,Dupuytren
1920,Gecombineerd ** Hoofd/ Hals,Epicondylitis / tendinitis / tendovaginitis
1921,Gecombineerd ** Hoofd/ Hals,Bursitis (niet traumatisch) / capsulitis
1922,Gecombineerd ** Hoofd/ Hals,Chondropathie / arthropathie / meniscuslaesie
1923,Gecombineerd ** Hoofd/ Hals,Arthrose
1924,Gecombineerd ** Hoofd/ Hals,Osteoporose
1925,Gecombineerd ** Hoofd/ Hals,Syndroom van Costen
1926,Gecombineerd ** Hoofd/ Hals,"Spier-, pees- en fascie aandoeningen"
1927,Gecombineerd ** Hoofd/ Hals,"Discusdegeneratie, coccygodynie / HNP"
1928,Gecombineerd ** Hoofd/ Hals,Sudeckse a(dys)trofie
1931,Gecombineerd ** Hoofd/ Hals,Gewrichtcontusie / -distorsie
1932,Gecombineerd ** Hoofd/ Hals,Luxatie (sub-)
1933,Gecombineerd ** Hoofd/ Hals,"Spier-, peesruptuur / haematoom"
1934,Gecombineerd ** Hoofd/ Hals,Hydrops / haemarthos / haematoom
1935,Gecombineerd ** Hoofd/ Hals,Myositis ossificans / adhaesies / traumatische bursitis
1936,Gecombineerd ** Hoofd/ Hals,Fracturen
1937,Gecombineerd ** Hoofd/ Hals,Onbekend
1938,Gecombineerd ** Hoofd/ Hals,Whiplash injury (nektrauma)
1939,Gecombineerd ** Hoofd/ Hals,Status na brandwonden
1940,Gecombineerd ** Hoofd/ Hals,Hartaandoeningen (niet genoemd onder 41 t/m 49)
1941,Gecombineerd ** Hoofd/ Hals,Myocard-infarct (AMI)
1942,Gecombineerd ** Hoofd/ Hals,Status na coronary artery bypassoperatie (CABG)
1943,Gecombineerd ** Hoofd/ Hals,Status na percutane transluminale coronair angioplastiek (PTCA)
1944,Gecombineerd ** Hoofd/ Hals,Status na hartklepoperatie
